monitoring_location_name,year,activity_start_date,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_status_id,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,activity_media_name,field_comment,update_date,update_account
375 LA CB,1990,1990-12-13,epi,CHLA,,"",Filterable,1.73000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,CL,,as Cl,Filterable,0.37000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,COND,,"",Unfiltered,56.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,DIC,,as Total CO2,Dissolved,480.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,DIC,,as Total CO2,Dissolved,510.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,DOC,,as C,Filterable,350.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,K,,as K,Filterable,0.57000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,MG,,as Mg,Filterable,1.55000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,MN,,as Mn,Filterable,0.01000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,NA,,as Na,Filterable,1.57000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,NO3,,as NO3-N,Filterable,10.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,PARTC,,as C,Non-Filterable (Particle),420.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1990,1990-12-13,epi,PARTN,,as N,Non-Filterable (Particle),41.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1990,1990-12-13,epi,PARTP,,as P,Non-Filterable (Particle),4.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1990,1990-12-13,epi,PH,,"",Unfiltered,7.14000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,SO4,,as SO4,Filterable,4.12000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,TDN,,as N,Dissolved,180.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1990,1990-12-13,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,ALK,,alkalinity,"",453.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,CA,,as Ca,Filterable,6.87000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,CHLA,,"",Filterable,2.23000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,CL,,as Cl,Filterable,0.33000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,COND,,"",Unfiltered,58.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,DIC,,as Total CO2,Dissolved,478.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,DIC,,as Total CO2,Dissolved,500.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,DOC,,as C,Filterable,390.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,K,,as K,Filterable,0.62000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,MG,,as Mg,Filterable,1.71000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,NA,,as Na,Filterable,1.64000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,NO2,,as NO2-N,Filterable,1.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,NO3,,as NO3-N,Filterable,18.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,PARTC,,as C,Non-Filterable (Particle),350.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-03-13,epi,PARTP,,as P,Non-Filterable (Particle),4.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-03-13,epi,PH,,"",Unfiltered,7.04000,SU,#N/A,"",Method Detection Level,"","",pH (non in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,SO4,,as SO4,Filterable,4.20000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,TDN,,as N,Dissolved,210.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-03-13,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,ALK,,alkalinity,"",417.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,CA,,as Ca,Filterable,6.68000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,CHLA,,"",Filterable,0.92000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,CHLA,,"",Filterable,1.21000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,CL,,as Cl,Filterable,0.29000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,COND,,"",Unfiltered,57.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DIC,,as Total CO2,Dissolved,364.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DIC,,as Total CO2,Dissolved,380.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DIC,,as Total CO2,Dissolved,430.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DIC,,as Total CO2,Dissolved,460.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DOC,,as C,Filterable,370.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,DOC,,as C,Filterable,400.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,K,,as K,Filterable,0.60000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,MG,,as Mg,Filterable,1.50000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,NA,,as Na,Filterable,1.44000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,NO3,,as NO3-N,Filterable,5.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,PARTC,,as C,Non-Filterable (Particle),480.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-13,epi,PARTC,,as C,Non-Filterable (Particle),510.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-13,epi,PARTN,,as N,Non-Filterable (Particle),44.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-13,epi,PARTN,,as N,Non-Filterable (Particle),47.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-13,epi,PARTP,,as P,Non-Filterable (Particle),4.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-13,epi,PH,,,Unfiltered,7.24000,SU,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2023-06-08,chay
375 LA CB,1991,1991-05-13,epi,SO4,,as SO4,Filterable,3.68000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,TDN,,as N,Dissolved,200.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-13,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,ALK,,alkalinity,"",386.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,CA,,as Ca,Filterable,5.90000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,CHLA,,"",Filterable,0.62000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,CHLA,,"",Filterable,0.98000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,CL,,as Cl,Filterable,0.29000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,COND,,"",Unfiltered,50.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DIC,,as Total CO2,Dissolved,357.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DIC,,as Total CO2,Dissolved,363.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DIC,,as Total CO2,Dissolved,420.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DIC,,as Total CO2,Dissolved,430.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DOC,,as C,Filterable,450.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,DOC,,as C,Filterable,530.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,K,,as K,Filterable,0.53000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,MG,,as Mg,Filterable,1.51000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,NA,,as Na,Filterable,1.44000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,NO3,,as NO3-N,Filterable,1.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,PARTC,,as C,Non-Filterable (Particle),440.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-27,epi,PARTC,,as C,Non-Filterable (Particle),590.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-27,epi,PARTN,,as N,Non-Filterable (Particle),44.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-27,epi,PARTN,,as N,Non-Filterable (Particle),47.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-27,epi,PARTP,,as P,Non-Filterable (Particle),3.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-05-27,epi,PH,,,Unfiltered,7.38000,SU,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2023-06-08,chay
375 LA CB,1991,1991-05-27,epi,SO4,,as SO4,Filterable,3.89000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,TDN,,as N,Dissolved,190.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-05-27,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,ALK,,alkalinity,"",390.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,CA,,as Ca,Filterable,6.83000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,CHLA,,"",Filterable,0.45000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,CHLA,,"",Filterable,0.63000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,CL,,as Cl,Filterable,0.30000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,COND,,"",Unfiltered,52.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DIC,,as Total CO2,Dissolved,407.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DIC,,as Total CO2,Dissolved,410.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DIC,,as Total CO2,Dissolved,420.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DIC,,as Total CO2,Dissolved,430.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DOC,,as C,Filterable,460.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,DOC,,as C,Filterable,500.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,K,,as K,Filterable,0.65000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,MG,,as Mg,Filterable,1.47000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,MN,,as Mn,Filterable,0.00000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,NA,,as Na,Filterable,1.51000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,NO3,,as NO3-N,Filterable,3.00000,ug/L,1,"",Method Detection Level,"","","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,PARTC,,as C,Non-Filterable (Particle),390.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-06-10,epi,PARTC,,as C,Non-Filterable (Particle),490.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-06-10,epi,PARTN,,as N,Non-Filterable (Particle),26.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-06-10,epi,PARTN,,as N,Non-Filterable (Particle),32.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-06-10,epi,PARTP,,as P,Non-Filterable (Particle),2.00000,ug/L,1,"",Method Detection Level,"","","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2022-02-01,chay
375 LA CB,1991,1991-06-10,epi,PH,,,Unfiltered,7.68000,SU,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",Lake Water,,2023-06-08,chay
375 LA CB,1991,1991-06-10,epi,SO4,,as SO4,Filterable,3.94000,mg/L,0.02,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,TDN,,as N,Dissolved,210.00000,ug/L,5,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-10,epi,TDP,,as P,Dissolved,2.00000,ug/L,1,"",Method Detection Level,"","","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,ALK,,alkalinity,"",389.00000,ueq/L,,"",Method Detection Level,"","","","","The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,CA,,as Ca,Filterable,6.70000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,CHLA,,"",Filterable,0.61000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,CHLA,,"",Filterable,1.16000,ug/L,0.01,"",Method Detection Level,"","","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,CL,,as Cl,Filterable,0.32000,mg/L,0.01,"",Method Detection Level,"","","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,COND,,"",Unfiltered,51.00000,uS/cm,1,"",Method Detection Level,"","","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,DIC,,as Total CO2,Dissolved,384.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,DIC,,as Total CO2,Dissolved,386.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,DIC,,as Total CO2,Dissolved,400.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,DOC,,as C,Filterable,410.00000,umol/L,10,"",Method Detection Level,"","","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,K,,as K,Filterable,0.63000,mg/L,0.02,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
375 LA CB,1991,1991-06-24,epi,MG,,as Mg,Filterable,1.49000,mg/L,0.01,"",Method Detection Level,"","","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",Lake Water,,,
